stratification_filename	stratification_type	md5_checksum
GRCh37_HG002_GIABv4.1_othercomplexwithin10bp_slop50.bed.gz	GenomeSpecific	264c673c9106ef11c76b8d098f43248f
GRCh37_HG002_GIABv4.1_snpswithin10bp_slop50.bed.gz	GenomeSpecific	18235780d6d47b59f6fb180ed9a24156
GRCh37_HG002_HG003_HG004_allsvs.bed.gz	GenomeSpecific	3714574ed808f475a429224a2dd8be1a
GRCh37_HG002_GIABv4.1_CNV_gt2assemblycontigs_ONTCanu_ONTFlye_CCSCanu.bed.gz	GenomeSpecific	69c08ad1b1536d26f1f0424e1c593e75
GRCh37_HG002_GIABv4.1_inversions_slop25percent.bed.gz	GenomeSpecific	a6e290904e4f604e2857155595c81021
GRCh37_HG002_Tier1plusTier2_v0.6.1.bed.gz	GenomeSpecific	e9a9d83ed2e21daafbe616dc520ce4fb
GRCh37_HG003_GIABv3.3.2_comphetindel10bp_slop50.bed.gz	GenomeSpecific	76e58b0d33d233990bcbd430d2f587d6
GRCh37_HG003_GIABv3.3.2_comphetsnp10bp_slop50.bed.gz	GenomeSpecific	60d793f7387fdad665db3aac751990b3
GRCh37_HG003_GIABv3.3.2_complexandSVs.bed.gz	GenomeSpecific	5f55c7fb7cba5693d95f8df5e6dd29c5
GRCh37_HG003_GIABv3.3.2_complexandSVs_alldifficultregions.bed.gz	GenomeSpecific	2b9bf6c19ac5244239e305f59da27781
GRCh37_HG003_GIABv3.3.2_complexindel10bp_slop50.bed.gz	GenomeSpecific	6b504e673d26115fdd43ce9ac0926df0
GRCh37_HG003_GIABv3.3.2_notin_complexandSVs_alldifficultregions.bed.gz	GenomeSpecific	5693079e90aacdde91fce05c50ba67c2
GRCh37_HG003_GIABv3.3.2_snpswithin10bp_slop50.bed.gz	GenomeSpecific	ba0cac248b97d50d61695917c375e2ae
GRCh37_HG004_GIABv3.3.2_comphetindel10bp_slop50.bed.gz	GenomeSpecific	80b097da72cb56f15f074e6f83c4ce02
GRCh37_HG004_GIABv3.3.2_comphetsnp10bp_slop50.bed.gz	GenomeSpecific	c62026ec8ffc902c97e780e68cbc3131
GRCh37_HG004_GIABv3.3.2_complexandSVs.bed.gz	GenomeSpecific	cf4c588caee1903cb73dcdf2a851873b
GRCh37_HG004_GIABv3.3.2_complexandSVs_alldifficultregions.bed.gz	GenomeSpecific	4bc0e1a374e55d7cd0cbff2fa9bcd159
GRCh37_HG004_GIABv3.3.2_complexindel10bp_slop50.bed.gz	GenomeSpecific	f6eb8ed84eb1a40da6c7298f85d36c15
GRCh37_HG004_GIABv3.3.2_notin_complexandSVs_alldifficultregions.bed.gz	GenomeSpecific	f1029757cc0fe52672e592b21b11adba
GRCh37_HG004_GIABv3.3.2_snpswithin10bp_slop50.bed.gz	GenomeSpecific	9d1815e406e382eae49aa0bc8c1be3b6
GRCh37_HG005_GIABv3.3.2_comphetindel10bp_slop50.bed.gz	GenomeSpecific	16cd1bfc9253c3541da2bf45b9166dbd
GRCh37_HG005_GIABv3.3.2_comphetsnp10bp_slop50.bed.gz	GenomeSpecific	e7d4f7c4d8216fb2a92fed25db147b9b
GRCh37_HG005_GIABv3.3.2_complexandSVs.bed.gz	GenomeSpecific	eb9aef6d5f149f5b5abd42e0a884f53f
GRCh37_HG005_GIABv3.3.2_complexandSVs_alldifficultregions.bed.gz	GenomeSpecific	ab7b2db04b376368b5b18b0fb1b047e6
GRCh37_HG005_GIABv3.3.2_complexindel10bp_slop50.bed.gz	GenomeSpecific	5fa5b67a799a18740edecdea516813d7
GRCh37_HG005_GIABv3.3.2_notin_complexandSVs_alldifficultregions.bed.gz	GenomeSpecific	4880d610e27e615f7ed62c0c678f3a4c
GRCh37_HG005_GIABv3.3.2_snpswithin10bp_slop50.bed.gz	GenomeSpecific	4f647a4276a60eb2db1e503e2b67667c
GRCh37_HG005_HG006_HG007_MetaSV_allsvs.bed.gz	GenomeSpecific	edf804d954f1dae9a78ea22dba97e155
GRCh37_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz	LowComplexity	f2e791be098f3dda45729c85637b2805
GRCh37_AllTandemRepeats_201to10000bp_slop5.bed.gz	LowComplexity	8ef62f7ba5e6426bb05ae3a886308724
GRCh37_AllTandemRepeats_51to200bp_slop5.bed.gz	LowComplexity	f70e28e5924f2c850b7b143b8aaa27b4
GRCh37_AllTandemRepeats_gt10000bp_slop5.bed.gz	LowComplexity	17bfc25d321dfb450879a02a4a175664
GRCh37_AllTandemRepeats_gt100bp_slop5.bed.gz	LowComplexity	652f046489afaee0cac29717012c2c20
GRCh37_AllTandemRepeats_lt51bp_slop5.bed.gz	LowComplexity	30bd22faa3c1571396add26cccf9ef95
GRCh37_AllTandemRepeatsandHomopolymers_slop5.bed.gz	LowComplexity	ff551efdcacf00d9ed2ed01e252d6a90
GRCh37_notinAllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz	LowComplexity	5a37dd0665aa8ee2170a42fbc1617fa4
GRCh37_notinAllTandemRepeatsandHomopolymers_slop5.bed.gz	LowComplexity	612e4209fd3cb5d360795ec3029e65b7
GRCh37_SimpleRepeat_diTR_11to50_slop5.bed.gz	LowComplexity	c1d3449cbd7cf81e9f1bd0e72ca3eedc
GRCh37_SimpleRepeat_diTR_51to200_slop5.bed.gz	LowComplexity	34e3d79d3543460adf5b800fefc479e7
GRCh37_SimpleRepeat_diTR_gt200_slop5.bed.gz	LowComplexity	90d6eb5716aaa28de01ead71420fb50e
GRCh37_SimpleRepeat_homopolymer_4to6_slop5.bed.gz	LowComplexity	24cc2057452c9df4a235f8f0af7eb46a
GRCh37_SimpleRepeat_homopolymer_7to11_slop5.bed.gz	LowComplexity	4ab2bf4eef862cc439d4fde273cab9e1
GRCh37_SimpleRepeat_homopolymer_gt11_slop5.bed.gz	LowComplexity	b72496bcef4aafefd4d3b0a3b273fe7f
GRCh37_SimpleRepeat_imperfecthomopolgt10_slop5.bed.gz	LowComplexity	68fa1d4a20738175cd133e2348a44120
GRCh37_SimpleRepeat_quadTR_20to50_slop5.bed.gz	LowComplexity	a48792470b895ea19da112b1a371e6b4
GRCh37_SimpleRepeat_quadTR_51to200_slop5.bed.gz	LowComplexity	4932e3bbd215ad91902085102610e4c1
GRCh37_SimpleRepeat_quadTR_gt200_slop5.bed.gz	LowComplexity	aac094fcee3dca43630f6785be5d0376
GRCh37_SimpleRepeat_triTR_15to50_slop5.bed.gz	LowComplexity	23bb11bdc5e0c723b85a52c8ac278fac
GRCh37_SimpleRepeat_triTR_51to200_slop5.bed.gz	LowComplexity	edb477752daf368090e5cd3968d4e078
GRCh37_SimpleRepeat_triTR_gt200_slop5.bed.gz	LowComplexity	5d1404f315a3641fe51b9ce655c929c0
GRCh37_nonunique_l100_m2_e1.bed.gz	mappability	1fb92376479032238e2a0f4774819513
GRCh37_nonunique_l250_m0_e0.bed.gz	mappability	3f89243deb75fe5b9a4cb62ad39cfaea
GRCh37_lowmappabilityall.bed.gz	mappability	df2022708d6cacd3e2c0b59daa10f766
GRCh37_notinlowmappabilityall.bed.gz	mappability	1af4c140e01a7aaa8985d11f5e18acf7
GRCh37_allOtherDifficultregions.bed.gz	OtherDifficult	e3b90371841cd7c838e53336a76e7bd3
GRCh37_contigs_lt500kb.bed.gz 	OtherDifficult	77eab7c95011b2ae1e868438d7594d1a
GRCh37_hs37d5_decoy_alignments.bed.gz	OtherDifficult	1e333f68c772e7d443ec16c5d1594b11
GRCh37_gaps_slop15kb.bed.gz	OtherDifficult	5584073339f944afc90abee3adf573db
GRCh37_hg38_minimap2_asm20_N10_gt1contig_gt1kb.bed.gz	OtherDifficult	959ceb383d0236c243dc9e09dd3ce511
GRCh37_hg38_minimap2_asm20_N10_nocovgt1kb.bed.gz	OtherDifficult	b23e8d12c593a0208e75c2532b96b61e
GRCh37_L1H_gt500.bed.gz	OtherDifficult	e90c1a556696491bb049f5e50c4d8fec
GRCh37_MHC.bed.gz	OtherDifficult	e01f1ece88408c5d1450e7fa39871f37
GRCh37_missing_and_multiple_alignments_of_GRCh38.bed.gz	OtherDifficult	5667857e44727e0cf6498874acc378f3
GRCh37_VDJ.bed.gz	OtherDifficult	b1a5645226aaf78dac0b6dbd898b8ccc
GRCh37_chainSelf.bed.gz	SegmentalDuplications	17eec015a533a8f74eaa794d13605773
GRCh37_chainSelf_gt10kb.bed.gz	SegmentalDuplications	d017d80e36cad6395b18c00fd2946a0b
GRCh37_gt5segdups_gt10kb_gt99percidentity.bed.gz	SegmentalDuplications	532597dcc3d9533d73c360b0a9b732f7
GRCh37_notinchainSelf.bed.gz	SegmentalDuplications	7413d33bf22fe0830c733507c9769485
GRCh37_notinchainSelf_gt10kb.bed.gz	SegmentalDuplications	ab6bca7cb916d2a38ac432e175efa135
GRCh37_notinsegdups.bed.gz	SegmentalDuplications	098935aa5464df81dceb40f7e6506a3c
GRCh37_notinsegdups_gt10kb.bed.gz	SegmentalDuplications	33c8ecaa6d9bcad7ab06b284dc9146ca
GRCh37_segdups.bed.gz	SegmentalDuplications	383beee3746ecb2e88bcedbdf7614dc6
GRCh37_segdups_gt10kb.bed.gz	SegmentalDuplications	f9df5ec383dcecd853d3dd2966fe1e4e
GRCh37_alldifficultregions.bed.gz	union	87bcdf8a8d55e5d8ba4410cb3c28fc92
GRCh37_alllowmapandsegdupregions.bed.gz	union	96e426227730d4cc759b60a1893db41c
GRCh37_notinalldifficultregions.bed.gz	union	f863e601d50434f9d7064d915203ca3c
GRCh37_notinalllowmapandsegdupregions.bed.gz	union	ffb745c3ba74c21ff56894123d0b7bbd
